model,feature_type,latent_dim,beta,lr,epochs,n_clusters,clustering,eval_set,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
BasicVAE,mel,32,1.0,0.001,60,10,KMeans,all,0.504664957523346,87240.67356560926,0.5416260141658621,0.0004641915330610711,0.0017953500164575476,0.44957290573954745
BasicVAE,mel,32,1.0,0.001,60,10,KMeans,labeled_only,0.5066385865211487,47448.28190687959,0.5447321458280445,8.954982361867047e-07,0.0028620556382611883,0.13522098194028495
BasicVAE,mel,32,1.0,0.001,60,10,GMM,all,0.18616174161434174,12715.393489779313,2.4544266702788584,-0.0007399639312140113,0.0015358803905783896,0.44957290573954745
BasicVAE,mel,32,1.0,0.001,60,10,GMM,labeled_only,0.18314822018146515,7023.43472616575,2.2710161291744972,0.0002974611914565245,0.002495452559529507,0.13349668753970415
BasicVAE,mel,32,1.0,0.001,60,18,KMeans,all,0.48518654704093933,126762.47893961625,0.5636129558036573,0.0004350042923858183,0.002809251558565955,0.44957290573954745
BasicVAE,mel,32,1.0,0.001,60,18,KMeans,labeled_only,0.48638835549354553,69704.8450949681,0.5585982499101108,-5.556632646459168e-06,0.0045625079454046985,0.13631000998275705
BasicVAE,mel,32,1.0,0.001,60,18,GMM,all,0.06587514281272888,12104.62718144324,3.6749769924675877,-0.0003596318919356245,0.0029593063682475827,0.44957290573954745
BasicVAE,mel,32,1.0,0.001,60,18,GMM,labeled_only,0.06776951998472214,6600.665022024577,4.0621343393544995,0.0001000269093566085,0.004802391487750969,0.13930483709955532
BetaVAE_b2.0,mel,32,2.0,0.001,60,2,KMeans,all,0.5773852467536926,42221.432107876906,0.5903783464829124,-0.00013220625399239174,0.0003058321722337625,0.44957290573954745
BetaVAE_b2.0,mel,32,2.0,0.001,60,2,KMeans,labeled_only,0.578152060508728,23379.850336416413,0.589581077920486,-0.00010040782849903239,0.00047680205320235124,0.12505672021054542
BetaVAE_b2.0,mel,32,2.0,0.001,60,2,KMeans,language,0.5773852467536926,42221.432107876906,0.5903783464829124,-4.487953585624938e-05,3.5711300273074333e-06,0.5011239322643488
BetaVAE_b2.0,mel,32,2.0,0.001,60,2,GMM,all,0.4971325099468231,27999.107078965,0.6708456720694504,-0.001158732953057822,0.0003032622780631107,0.44957290573954745
BetaVAE_b2.0,mel,32,2.0,0.001,60,2,GMM,labeled_only,0.4967339336872101,15374.564248402146,0.6699406370127406,9.046471582743592e-06,0.0004750025324011469,0.12614574825301753
BetaVAE_b2.0,mel,32,2.0,0.001,60,2,KMeans,language,0.5773852467536926,42221.432107876906,0.5903783464829124,-4.487953585624938e-05,3.5711300273074333e-06,0.5011239322643488
BetaVAE_b2.0,mel,32,2.0,0.001,60,10,KMeans,all,0.3827265202999115,38438.66682394003,0.8937314005007394,-0.0008941113230758632,0.001789286831040854,0.44957290573954745
BetaVAE_b2.0,mel,32,2.0,0.001,60,10,KMeans,labeled_only,0.3820650279521942,21220.2195712411,0.9015177453124956,-0.00039310626154818356,0.0029584432125238642,0.13567474362464835
BetaVAE_b2.0,mel,32,2.0,0.001,60,10,GMM,all,0.24822773039340973,28092.649475608414,1.1613327816526549,0.0001562782924072988,0.0018810595421684664,0.44957290573954745
BetaVAE_b2.0,mel,32,2.0,0.001,60,10,GMM,labeled_only,0.24811533093452454,15374.596654654026,1.163218084365537,1.953989662581855e-05,0.0030316537585844674,0.1333151828659588
BetaVAE_b2.0,mel,32,2.0,0.001,60,18,KMeans,all,0.3020040988922119,33631.21668356479,0.9600004862350688,-0.00011129875259213009,0.002900003700219351,0.44957290573954745
BetaVAE_b2.0,mel,32,2.0,0.001,60,18,KMeans,labeled_only,0.30087926983833313,18559.211823551348,0.9633674592377406,-0.00024755024657698125,0.00481381676502641,0.1372175333514838
BetaVAE_b2.0,mel,32,2.0,0.001,60,18,GMM,all,0.17392510175704956,19159.69844866573,1.5214880605121328,0.00022455344385383715,0.0030086841752931487,0.44957290573954745
BetaVAE_b2.0,mel,32,2.0,0.001,60,18,GMM,labeled_only,0.16996270418167114,10396.032212269914,1.5340663964286565,-0.00018993041464705654,0.004856929647006229,0.1383065613939559
ConvVAE,mel,16,1.0,0.001,60,2,KMeans,all,0.6936476826667786,27954.32371222405,0.5683999391077016,-0.00033305339197039634,0.00038803928698257807,0.44957290573954745
ConvVAE,mel,16,1.0,0.001,60,2,KMeans,labeled_only,0.6922516822814941,15378.654424138387,0.5665062954823702,2.1218004198734812e-06,0.000614976686839719,0.12433070151556402
ConvVAE,mel,16,1.0,0.001,60,2,KMeans,language,0.6936476826667786,27954.32371222405,0.5683999391077016,-2.1290965140568832e-05,2.809578795859535e-07,0.5005744542684449
ConvVAE,mel,16,1.0,0.001,60,2,GMM,all,0.6231601238250732,20747.723791223245,0.6887241988230022,-0.0005912206054798255,0.00037685808650659604,0.44957290573954745
ConvVAE,mel,16,1.0,0.001,60,2,GMM,labeled_only,0.6233710646629333,11494.997375817915,0.6852843040802707,1.2705117338067703e-05,0.0005969531955076936,0.12451220618930937
ConvVAE,mel,16,1.0,0.001,60,2,KMeans,language,0.6936476826667786,27954.32371222405,0.5683999391077016,-2.1290965140568832e-05,2.809578795859535e-07,0.5005744542684449
ConvVAE,mel,16,1.0,0.001,60,10,KMeans,all,0.44902947545051575,62787.415422280326,0.6253958296774857,0.00011989370547354873,0.0016042579735842115,0.44957290573954745
ConvVAE,mel,16,1.0,0.001,60,10,KMeans,labeled_only,0.4479813277721405,34839.45896940724,0.6211663037959839,-0.00028901011053454715,0.0025180004157503637,0.13249841183410474
ConvVAE,mel,16,1.0,0.001,60,10,GMM,all,-0.011921579949557781,10033.712434913972,2.6401708961845674,-8.209074332488691e-05,0.0017092898403909453,0.44957290573954745
ConvVAE,mel,16,1.0,0.001,60,10,GMM,labeled_only,-0.013211369514465332,5272.489138880633,2.4601918306598995,-0.00022671448616503917,0.0027020914664675428,0.1305018604229059
ConvVAE,mel,16,1.0,0.001,60,18,KMeans,all,0.36983630061149597,75936.43112285425,0.7393240311655505,7.349775588361376e-05,0.002552235196266175,0.44957290573954745
ConvVAE,mel,16,1.0,0.001,60,18,KMeans,labeled_only,0.36715590953826904,41295.952856811076,0.7505144042542375,-0.00022070157001646818,0.0040289067558861216,0.1328614211815954
ConvVAE,mel,16,1.0,0.001,60,18,GMM,all,-0.08295862376689911,8829.412887793307,3.2783666927259465,-0.0007973755595787543,0.002736216858281842,0.44957290573954745
ConvVAE,mel,16,1.0,0.001,60,18,GMM,labeled_only,-0.08590064942836761,4734.388178072741,3.5559113800474864,-0.0004622997290875237,0.004245036222369036,0.1336781922134495
ConvVAE,mel,32,1.0,0.001,60,2,KMeans,all,0.7217910289764404,26530.008791108736,0.5734048323499689,0.0014175515125144215,0.00023646320986527578,0.44957290573954745
ConvVAE,mel,32,1.0,0.001,60,2,KMeans,labeled_only,0.7250447869300842,15027.402408421991,0.5666850258133181,0.00022926869421401296,0.00035654776646462015,0.12414919684181867
ConvVAE,mel,32,1.0,0.001,60,2,KMeans,language,0.7217910289764404,26530.008791108736,0.5734048323499689,-1.6525399629099105e-05,1.251668843631213e-05,0.5006244068135272
ConvVAE,mel,32,1.0,0.001,60,2,GMM,all,0.5693657994270325,15879.613330937009,0.827358501614228,-0.0004065723615715295,0.0001527605160871546,0.44957290573954745
ConvVAE,mel,32,1.0,0.001,60,2,GMM,labeled_only,0.5741084814071655,8925.328821625917,0.8224645918742547,-8.345813620848851e-05,0.00024277994424297492,0.12433070151556402
ConvVAE,mel,32,1.0,0.001,60,2,KMeans,language,0.7217910289764404,26530.008791108736,0.5734048323499689,-1.6525399629099105e-05,1.251668843631213e-05,0.5006244068135272
ConvVAE,mel,32,1.0,0.001,60,10,KMeans,all,0.4215781092643738,59541.442242592275,0.6524590761826942,-0.00037805636488327744,0.0018479008159097425,0.44957290573954745
ConvVAE,mel,32,1.0,0.001,60,10,KMeans,labeled_only,0.4209206700325012,33022.53528310276,0.6544785666822536,9.080399125613448e-05,0.0029356821284782933,0.13304292585534078
ConvVAE,mel,32,1.0,0.001,60,10,GMM,all,-0.03256317600607872,8033.404278741502,5.263971795678024,0.0007573463688338697,0.0017797496668114647,0.44957290573954745
ConvVAE,mel,32,1.0,0.001,60,10,GMM,labeled_only,-0.03120352514088154,4591.264032800908,5.1608030032511625,8.061227001453947e-07,0.0027901429320412625,0.1335874398765768
ConvVAE,mel,32,1.0,0.001,60,18,KMeans,all,0.31962668895721436,65825.33898586463,0.8123085300848925,-1.615632806722757e-05,0.0031362936408511365,0.44957290573954745
ConvVAE,mel,32,1.0,0.001,60,18,KMeans,labeled_only,0.32077476382255554,36070.96605338503,0.8189209028801709,7.528267356594277e-05,0.005136673641788736,0.1372175333514838
ConvVAE,mel,32,1.0,0.001,60,18,GMM,all,-0.11578021943569183,7314.2734797810535,4.26962777984914,-0.00043793778886537933,0.0027171915391857615,0.44957290573954745
ConvVAE,mel,32,1.0,0.001,60,18,GMM,labeled_only,-0.11724568158388138,4045.6859815575494,4.372234622012215,-9.920321421054472e-05,0.00436093243057584,0.13730828568835649
CVAE,mel,16,1.0,0.001,60,2,KMeans,all,0.6535066366195679,25729.19366418915,0.5966585665958333,0.005909583759104761,0.0006153486979293364,0.44957290573954745
CVAE,mel,16,1.0,0.001,60,2,KMeans,labeled_only,0.652165949344635,14291.433297810889,0.6015086801143695,0.0005958014394239988,0.000740228037873095,0.12460295852618206
CVAE,mel,16,1.0,0.001,60,2,KMeans,language,0.6535066366195679,25729.19366418915,0.5966585665958333,6.61265941807788e-05,0.0001973806394973381,0.5047704680553474
CVAE,mel,16,1.0,0.001,60,2,GMM,all,0.4329696297645569,16041.573666054663,0.840996076949641,0.0022433344504094025,0.0005175941726306813,0.44957290573954745
CVAE,mel,16,1.0,0.001,60,2,GMM,labeled_only,0.4347403049468994,8834.8982631674,0.8368447488936834,0.000346851679186359,0.0007752734032277578,0.12641800526363553
CVAE,mel,16,1.0,0.001,60,2,KMeans,language,0.6535066366195679,25729.19366418915,0.5966585665958333,6.61265941807788e-05,0.0001973806394973381,0.5047704680553474
CVAE,mel,16,1.0,0.001,60,10,KMeans,all,0.49329620599746704,75215.83735666052,0.5560563886870556,0.001814502675450688,0.00193031666922387,0.44957290573954745
CVAE,mel,16,1.0,0.001,60,10,KMeans,labeled_only,0.49258458614349365,41790.148217532296,0.5571794927802023,-5.308516809427988e-05,0.003031406867087404,0.1315001361285053
CVAE,mel,16,1.0,0.001,60,10,GMM,all,0.0455402210354805,7635.211883372529,3.258370820803704,8.43852278997567e-05,0.0018821726689615776,0.44957290573954745
CVAE,mel,16,1.0,0.001,60,10,GMM,labeled_only,0.046396881341934204,4081.1626300016396,3.2171121091510555,7.309366205926766e-05,0.002912383250251472,0.13213540248661404
CVAE,mel,16,1.0,0.001,60,18,KMeans,all,0.45600205659866333,107518.19394696646,0.6031314705456671,0.001279578396707195,0.0028242937412110013,0.44957290573954745
CVAE,mel,16,1.0,0.001,60,18,KMeans,labeled_only,0.4595288038253784,61691.743953647674,0.5939715922365797,6.511929342392654e-05,0.004275565056291231,0.13748979036210182
